,Anime Title,Release Year,Genre,Duration,Rating,Description,No. of Votes
90,The Witcher: Nightmare of the Wolf,2021,"Animation,Action,Adventure",83,7.2,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past.","48,474"
91,Undead Murder Farce,2023–OA,"Animation,Drama,Fantasy",NA,7.6,"In a world inhabited by vampires, golems, werewolves and other creatures, Aya Rindo, along with Tsugaru Shunichi and Shizuku Hasei, travels as supernatural detective, solving mysteries while she looks for her lost body.",390
92,FLCL,2000–2001,"Animation,Action,Comedy",151,8.1,Mysterious things start happening when 12-year-old Naota meets a strange woman on a Vespa wielding a big guitar.,"19,060"
93,Nana,2006–2007,"Animation,Comedy,Drama",21,8.5,"Two ostensibly opposite women, both named Nana, become roommates in Tokyo and grow inseparable. However, their relationship is jeopardized as the harsh realities of adult life take shape.","5,044"
94,From Up on Poppy Hill,2011,"Animation,Comedy,Drama",91,7.4,A group of Yokohama teens look to save their school's clubhouse from the wrecking ball in preparations for the 1964 Tokyo Olympics.,"48,915"
95,Gurren Lagann,2007,"Animation,Action,Adventure",24,8.3,"Two friends, Simon and Kamina, become the symbols of rebellion against the powerful Spiral King, who forced mankind into subterranean villages.","20,081"
96,Monster Musume: Everyday Life with Monster Girls,2015–2017,"Animation,Comedy,Fantasy",23,6.6,"In a world where humans co-exist with fantasy beings, a young man must share a flat with a bevy of beastly beauties.","3,057"
97,Black Lagoon,2006,"Animation,Action,Adventure",25,7.9,"A Japanese businessman, captured by modern-day pirates, is written off and left for dead by his company. Tired of the corporate life, he opts to stick with the mercenaries that kidnapped him, becoming part of their gang.","16,979"
98,Food Wars,2015–2020,"Animation,Comedy,Drama",24,8.1,Soma Yukihira enrolls in an elite culinary school to become a full-time chef and surpass his father's culinary skills.,"11,569"
99,Beastars,2019–OA,"Animation,Crime,Drama",23,7.7,"In a world of anthropomorphic animals, a reclusive wolf's complicated relationship with a kindly rabbit is tested by a classmate's murder, a charismatic deer's influence, and his own burgeoning predatory instincts.","11,623"
100,Legend of the Galactic Heroes,1988–1997,"Animation,Action,Drama",25,9.0,"Various people, especially two rising commanders, cope with a massive continual space conflict between two interstellar nations.","4,335"
101,The Garden of Words,2013,"Animation,Drama,Romance",46,7.4,A 15-year-old boy and 27-year-old woman find an unlikely friendship one rainy day in the Shinjuku Gyoen National Garden.,"49,926"
102,Memories,1995,"Animation,Sci-Fi,Thriller",113,7.5,"An animated science fiction anthology from the visionary anime director, Katsuhiro Otomo.","20,326"
103,When Marnie Was There,2014,"Animation,Drama,Family",103,7.7,"Due to 12-year-old Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie?","45,114"
104,Cowboy Bebop: The Movie,2001,"Animation,Action,Crime",115,7.8,"A terrorist explosion releases a deadly virus on the masses, and it's up to the bounty-hunting Bebop crew to catch the cold-blooded culprit.","51,470"
105,Evangelion: 3.0+1.01 Thrice Upon a Time,2021,"Animation,Action,Drama",154,8.0,"The fourth and final installment of the Rebuild of Evangelion. Misato and her anti-Nerv group Wille arrive in Paris, a city now red from core-ization. Crew from the flagship Wunder land on a containment tower.","12,951"
106,Pom Poko,1994,"Animation,Comedy,Drama",119,7.3,A community of magical shape-shifting raccoon dogs struggle to prevent their forest home from being destroyed by urban development.,"32,820"
107,Vampire Hunter D,1985,"Animation,Action,Fantasy",80,7.0,"When Doris Lang is chosen as the next bride for the vampire Count Magnus Lee, she will hire a mysterious vampire hunter known only as D in an attempt to escape her ill-gotten fate.","16,913"
108,Noragami,2014–2015,"Animation,Action,Adventure",24,7.8,"A minor god seeking to gain widespread worship teams up with a human girl he saved to gain fame, recognition and at least one shrine dedicated to him.","17,961"
109,Highschool of the Dead,2010,"Animation,Action,Drama",24,7.2,High school students are overwhelmed with the start of the zombie apocalypse.,"14,787"
110,The Future Diary,2011–2013,"Animation,Action,Drama",25,7.5,"A young man competes with people around the world for a chance to become the succesor of God, with a diary that is able to tell the future.","19,139"
111,I Want to Eat Your Pancreas,2018,"Animation,Drama,Family",109,8.0,"A high school student discovers one of his classmates, Sakura Yamauchi, is suffering from a terminal illness. This secret brings the two together, as she lives out her final moments.","21,644"
112,KILL la KILL,2013–2014,"Animation,Action,Comedy",25,7.9,A young girl arrives at a school of superhumans to find out the truth behind her father's murder.,"16,014"
113,5 Centimeters per Second,2007,"Animation,Drama,Family",63,7.5,"Told in three interconnected segments, Takaki tells the story of his life as cruel winters, cold technology, and finally, adult obligations and responsibility converge to test the delicate petals of love.","61,773"
