,Anime Title,Release Year,Genre,Duration,Rating,Description,No. of Votes
713,Magic Knight Rayarth,1996,"Animation,Short,Adventure",5,NA,The original pilot of Magic Knight Rayearth.,NA
714,Anime Related 2,2006OAVideo,"Documentary,Family",58,NA,Documenting the influence of Japan on the American Media and it's youth.,NA
715,Wakakusa no Shârotto,1977–1978,NA,24,6.3,Add a Plot,25
716,Slug Street Scrappers,2012,"Short,Action,Comedy",16,8.3,"Punchy McBritches is a woman on a mission: to earn the title of the ""toughest in town"". And to achieve her goal she must first challenge and defeat the current toughest in town... a fella ...                See full summary »",49
717,Ichigeki Sacchuu!! Hoihoi-san,2004OAVideo,Short,15,5.9,"In the year 20xx AD, insects have become resistant to every kind of insecticide. In order to create an effective pest control, the Japanese company Mars Pharmacy develops a small ...                See full summary »",11
718,IVAA,TVOASpecial,NA,NA,NA,"The International Visual Art Awards (IVAA) is an award ceremony that honors erotic 2D and 3D Artists, Animators, Comic Creators and Game Designers.",NA
719,My Neck,2021–OA,"Action,Adventure,Comedy",NA,NA,My Neck is a live action anime inspired series set in a world where the martial art of 'Necking' is common place - in which 'Neckists' compete against each other to slap the back of their opponent's neck for pride and honor.,NA
720,Mercy of Whims,2019–OA,Comedy,NA,NA,"In the winter of 2019, Dominique Digital will create a dynamic weekly web-series that will encompass all things pop culture including, cosplay, board and video gaming, movies and TV, with live events happening in and around the city.",NA
721,My Other Me: A Film About Cosplayers,2013,"Documentary,Drama",85,8.0,Teens and young adults discovering their true identities while dressing up as fictional characters.,88
722,Cold Dark Mirror,2015,"Action,Adventure,Sci-Fi",85,6.4,"Cold Dark Mirror follows a young Witch-Hunter, Lydia, who stumbles upon the dark secret of the Unseen World; a shadow world of dreams and nightmares which lies just beyond the mirror's edge...                See full summary »",9
723,I'm glad I could keep running,2018,Drama,15,6.2,"The story centers on Minato, who goes to an anime event that has a voice acting recital with a friend. He is fascinated by the talent of the voice actors, and he meets Chikako, who studies ...                See full summary »",9
724,Azure Striker Gunvolt: The Anime,2017OAVideo,"Animation,Short,Sci-Fi",22,NA,Add a Plot,NA
725,Tales of Destiny,1997OAVideoOAGame,"Adventure,Fantasy",NA,7.5,"A great swordsman named Stahn Aileron takes a ride on a giant dragon ship. During the flight, the ship is attacked by pirates. Looking for a weapon to defend himself, Stahn discovers a ...                See full summary »",62
726,World of Horror,2019OAVideoOAGame,"Adventure,Fantasy,Horror",NA,7.5,"Experience the quiet terror of this 1-bit love letter to Junji Ito and H.P. Lovecraft. Navigate a hellish roguelite reality with turn-based combat and unforgiving choices, The inevitable awaits.",13
727,The Graveyard Shift Talk Show,2005–OA,Talk-Show,NA,NA,"The Graveyard Shift Talk Show is a magazine/feature-Driven and Interview formatted show based out of Tampa, FL, and broadcast worldwide throughout a wide variety of platforms. On the show, ...                See full summary »",NA
728,Solatorobo: Red the Hunter,2010OAVideoOAGame,"Action,Adventure,Fantasy",NA,7.4,"Prepare to reach new heights among islands in the sky in adventure game Solatorobo Red the Hunter, exclusively for the Nintendo DS family of portable systems.",15
729,Megazone 23 XI,,"Animation,Action,Adventure",NA,NA,Add a Plot,NA
730,Season of the Sakura,1996OAVideoOAGame,"Adventure,Romance",NA,NA,"It's April. The cherry blossoms are in full bloom, exploding with beautiful shades of pink and red and white like they do every year. Their fleeting existence will end soon enough, but for ...                See full summary »",NA
731,Neon Genesis Evangelion: That Little Red-Haired Girl,2005OAVideo,"Documentary,Short",7,5.3,Voice actress Tiffany Grant shows off her huge Asuka collection.,9
732,Akakage,1969,NA,NA,6.3,"Akakage is a fictional Japanese superhero featured in several manga and anime, as well as live action movies and TV shows.",19
733,Sekai Meisaku Gekijou Kanketsu Ban: Romeo no Aoi Sora Part 1,2001OATVOASpecial,Animation,45,NA,Add a Plot,NA
734,Method: A Voice Actor Prepares,2022,"Short,Comedy",12,NA,"Method: A Voice Actor Prepares is a quirky comedic short set at a recording studio, starring a thespian who takes his craft VERY seriously. Featuring some of the biggest names in animation,...                See full summary »",NA
735,Animax Special: The Making of 'Metropolis',2002OAVideo,"Documentary,Short,Family",33,6.3,Documentary of the making of the animated film Metropolis.,29
736,Noodle Shop Podcast,2022OAPodcastOASeries,Talk-Show,NA,NA,Add a Plot,NA
737,Enfrentamiento para Compartir un Paraguas,2022,"Short,Comedy,Romance",11,NA,How should two crafty students share an umbrella without revealing their feelings for each other?,NA
738,Animania: The Documentary,2007OATVOAMovie,Documentary,24,NA,"Japanese anime is the biggest thing to come out of the East since Godzilla. It's featured on clothing, television, video games and for some, has become a way of life. With the introduction ...                See full summary »",NA
739,Kindan no ketsuzoku,1993OAVideoOAGame,"Action,Adventure,Romance",NA,NA,"You think your life is over when your parents die in a horrible car accident. Then a millionaire decides to adopt you. To your delight, the millionaire is a charming and beautiful woman ...                See full summary »",NA
740,Ultraman Company,1996,"Short,Animation",30,NA,Add a Plot,NA
741,Rainbow Cotton,2000OAVideoOAGame,"Action,Adventure,Fantasy",NA,NA,"Rainbow Cotton is a rail shooter video game developed and published by Success exclusively for the Dreamcast. The fifth installment in the Cotton franchise, it is a follow-up to Panorama Cotton and the first 3D entry in the series.",NA
742,Tales of Destiny 2,2002OAVideoOAGame,Fantasy,NA,NA,"The story, set eighteen years after Destiny, follows Kyle Dunamis, the son of the previous game's protagonists Stahn Aileron and Rutee Katrea. Shortly after meeting a mysterious girl named ...                See full summary »",NA
743,Sekai Meisaku Gekijou Kanketsu Ban: Akage no Anne Part 2,2001OATVOASpecial,Animation,45,NA,Add a Plot,NA
744,Eiyuu Gaiden Mozaicka,1991,"Animation,Fantasy",NA,7.0,Add a Plot,9
745,Saber Marionette J Again OVA,2001OAVideo,"Animation,Short",30,7.5,Add a Plot,21
746,III on a Match,,"Action,Adventure,Comedy",NA,NA,"The misadventures of an assassin, a martial artist, and a modern-day samurai battling to find trust in each other as they unite on a quest to hunt down the international criminal known only as OZ.",NA
747,Ping Cherry,2007OAVideo,"Short,Fantasy",5,NA,Add a Plot,NA
748,Duel Masters Zero,2007–2008,"Animation,Action,Fantasy",NA,NA,Add a Plot,NA
749,Lycoris That Blazes the Earth,2014OAVideo,"Musical,Mystery",175,NA,"An aristocratic child forms a contract with a demon to fulfill his wishes and help him take revenge on his parent's murderer. Meanwhile, a string of murders terrorize London. These murders however, do not appear to be of the mortal world.",NA
750,Totally Street Fighter!,2009,"Short,Action,Adventure",5,5.5,"Your favorite characters from the totally popular video game re-group, re-strategize and re-invent pizza.",28
751,Cosplayers: The Movie,2009OAVideo,"Documentary,Short",44,2.8,"This 'rock and roll'-style documentary film explores the anime subculture in North America with footage from anime conventions and interviews with fans, voice actors and artists. Includes ...                See full summary »",23
752,Psychic Force 2012,1998OAVideoOAGame,"Action,Fantasy,Sci-Fi",NA,5.7,An air based fighting game that is the sequel to Psychic Force (1995).,14
753,Pink mizu-dorobô ame-dorobô,1990,Short,30,6.4,"In a drought-ridden kingdom, the bandit named Pink periodically robs the monopolistic Silver Company of their water reserves to provide water to the thirsting masses.",23
754,Tales of Destiny II,2000OAVideoOAGame,"Action,Adventure,Fantasy",NA,8.2,Embark on a Heroic Journey to Discover the Truth Behind an Enigmatic Stranger and the Ominous Message She Brings.,82
755,Uta no prince-sama - Revolutions,2015,Musical,24,7.0,"Starish are given new assignments in newly divided teams, and they do their best in order to try and impress Shining Saotome into allowing their entry to SSS, a top level music contest. Meanwhile, Haruka works with the Quarter Night.",46
756,Frank DanCoolo: Paranormal Drug Dealer,2010,"Short,Comedy",8,7.1,"In the annoyingly sparkly future-scape of Neo-Mega-Ultra Tokyo, reporter Holly Malone tracks a murderous urban legend. She discovers a chain of drug related killings leads down a super ...                See full summary »",61
757,Sync,IIOA2016,Documentary,74,8.0,"Together with voice actors, directors, engineers, translators and studio management Sync will take you behind the scenes of dutch localization for cartoons, the impact it has on our society and the love that's being put into it.",13
758,Soul of Darkness,2010OAVideoOAGame,"Action,Adventure,Fantasy",NA,NA,"Enter a fascinating gothic world as Kale, a mysterious, powerful man. Try to save your beloved's life and soul and get her out of an evil vampire's clutches.",NA
759,Steam Punk and the Next Generation,2011,"Short,Adventure,Drama",NA,NA,Add a Plot,NA
760,Untitled Dragon Ball & Animes Mix Movie,,"Action,Fantasy",NA,NA,"Sokuriel, a young new fighter unconscious of his alien origins, joins Goku Jr and Boruto to save the universes of all anime against his claimed brother.",NA
761,Moyashimon,2010–OA,"Comedy,Drama",24,5.3,The story follows a college student who discovers that he can see and communicate with the germs all around him - germs that appear as super-deformed characters.,15
762,Thousand Arms,1999OAVideoOAGame,"Action,Comedy,Fantasy",NA,7.5,"The game takes place on a ""steampunk"" type of world. The Dark Acolytes, a mysterious organization of cyborgs and robots, is trying to find the five legendary Sacred Flames, and bring chaos ...                See full summary »",27
763,Megazone 23 SIN,,"Animation,Action,Adventure",NA,NA,Add a Plot,NA
764,The Legend of the Mystical Ninja,1991OAVideoOAGame,"Adventure,Comedy,Family",NA,7.6,"A young mystical ninja named Kid Ying, and his master Dr. Yang set out to save Princess Yuki from the evil Otafu Army.",81
765,Hyper Police,1997,"Animation,Action,Comedy",NA,7.6,"It is the year 22 H. C. (Holy Century), Shinjuku is populated by monsters and goblins. Humans are endangered and the town is rife with crime.",119
766,Rokudenashi blues,1996,NA,87,NA,Add a Plot,NA
767,Danchi Tomoo,2013–2015,Animation,30,NA,Add a Plot,NA
768,Hamtaro: Rainbow Rescue,2003OAVideoOAGame,"Action,Adventure,Family",NA,NA,Hamtaro: Rainbow Rescue is a minigames collection video game where Hamtaro and his Ham-Ham friends must help Prince Bo to collect the things that are the proper color for Prince Bo to use so he can create a rainbow to return home.,NA
769,Mega Man Battle Network 4.5: Real Operation,2004OAVideoOAGame,"Action,Adventure,Fantasy",NA,NA,"The Mega Man Battle Network adventures continue in this semi-sequel to the previous game, Mega Man Battle Network 4.",NA
770,Aura,IIOA2017,"Short,Action,Adventure",32,NA,Aura is a short film about a boy who's life spirals out of control after he fails to control his inner darkness.,NA
771,Sekai Meisaku Gekijou Kanketsu Ban: Konnichiwa Anne Part 2,2011OATVOASpecial,Animation,45,NA,Add a Plot,NA
772,Albert Odyssey: Legend of Eldean,1996OAVideoOAGame,NA,NA,7.9,Add a Plot,11
773,Coffee Talk: Hibiscus & Butterfly,2023OAVideoOAGame,"Adventure,Drama,Fantasy",NA,6.4,Dust off your coffee machine and prepare your warmest smile to meet your customers again in the second episode of the much loved coffee brewing and heart-to-heart talking simulator; Coffee Talk Episode 2: Hibiscus and Butterfly.,21
774,Super-Happy Kill Time,2017–OA,"Action,Comedy,Mystery",3,8.0,Colorful live-action anime series follows a group of elite assassins as they're recruited by a mysterious benefactor.,27
775,IDOLiSH7 Vibrato,2018OATVOAShort,"Short,Music",14,8.2,A spin-off series of the IDOLiSH7 TV series that tells the secret formation story of the older idol group TRIGGER.,31
776,Kidou Senshi SD Gundam no Gyakushuu: SD Sengokuden - Abaowakuujou no Shou,1989,"Animation,Short",12,NA,"Set in the fictional land of Ark, SD Sengokuden re-imagines the mobile suits and mobile armors of the existing and more serious Gundam stories as super deformed sentient samurai in a setting reminiscent of ancient Japan.",NA
777,Young Rocket Samurai,2002OAVideo,"Short,Action,Drama",21,NA,"Young Rocket Samurai (2003) Short Fantasy drama, 21 minutes. Aired on Space. Maximum action on minimum budget, Young Rocket Samurai pushes the limits of independent movie making. Set in a ...                See full summary »",NA
778,Dragon Ball Z for Kinect,2012OAVideoOAGame,"Action,Adventure,Fantasy",NA,2.6,Add a Plot,37
779,Into the Blue - Perfect Blue Relay Interview File,2008OAVideo,"Documentary,Short",30,NA,Different cast and crew members discuss 'Perfect Blue'.,NA
780,Ed Sheeran x Pokémon: Celestial,2022OAMusicOAVideo,"Animation,Fantasy,Music",4,7.0,Add a Plot,24
781,Record of Lodoss War: Deedlit in Wonder Labyrinth,2020OAVideoOAGame,"Action,Adventure,Fantasy",NA,7.4,"Deedlit awakens suddenly in a mysterious, unknown place. Where am I? Why am I here? With nobody around to respond, her questions are met with only silence. Seeking answers, Deed eventually sets off on foot, alone.",21
782,Megami Kouhosei Special Curriculum: Nakama,2002OAVideo,"Short,Sci-Fi",24,NA,A retelling of the TV series from the point of view of one of the Goddess Pilots.,NA
783,The Samaritan,II,"Short,Drama",NA,NA,An office clerk is on his way home from work when the train suddenly derails and crashes. He cauterizes the wounds and attempts to get out of the underground whilst leading a young girl who makes him realize his true purpose of living.,NA
784,The Legend of Glaive,2022OAPodcastOASeries,Animation,NA,NA,"Shion, a young man of the Dying Earth, must travel throughout the eras in search of an ancient artifact. With the powers attributed to the blood of the mysterious warrior race, the Nerubs, ...                See full summary »",NA
785,Invasion: Anime,2002,Documentary,NA,7.0,"In the mid-20th Century, the U.S. experienced a new invasion into its pop culture landscape - the British Invasion: a mixture of music, fashion and colorful imagery neverbefore seen on ...                See full summary »",13
786,Saturday Night Stream,2015–OA,Talk-Show,180,NA,"Saturday talk show starring Hellbent and, occasionally Shima Luan.",NA
787,Tottoko Hamutarou 2: Hamu-chanzu Daishuugou Dechu,2001OAVideoOAGame,"Action,Adventure,Family",NA,8.8,"HamTaro: Ham-Hams Unite is an adventure game where you play as the loveable Carrot-headed Hamtaro as he learn over 80 different words in the Ham-Ham dictionary, find his Ham-Ham pals, and get in many wacky adventures",7
788,Shimajiro Armor Hero: The Version,2020,NA,60,NA,Add a Plot,NA
789,Visitor,1998OATVOAMovie,"Animation,Sci-Fi",84,NA,"In 2099, spaceship Davide is sent to investigate a mysterious object threatening one of Mars' moons only to end up being transported through time and space.",NA
790,D-1 Devastator,1992–1993,Sci-Fi,NA,NA,Add a Plot,NA
791,Ib,2022OAVideoOAGame,"Adventure,Fantasy,Horror",NA,8.1,"A young girl named Ib visits an art gallery with her parents, While perusing the various works of art, Ib suddenly realizes that she is alone, As she searches for someone, anyone.. the museum begins to change..",8
792,Papa Mama Bye Bye,1984,"Animation,Drama",75,NA,"Kaori is a dungaree-wearing tomboy who lives next to the brothers Ko and Yasu. One day when she participates in a school competition, a US jet crashes near the boys' house.",NA
793,Rave Master: Special Attack Force,2005OAVideoOAGame,Action,NA,6.9,Haru glory's life is turned upside down when he finds out he is the legendary rave master,12
794,Vanguard Bandits,1999OAVideoOAGame,"Action,Adventure,Fantasy",NA,8.0,A young man and his team are thrust into dangerous war by the evil General Faulkner and his minions.,25
795,MarzGurl Reviews,2008–OA,Comedy,20,5.9,"A tough, spunky young woman looks at animation blunders from all the major studios. Usually her oldest foe, the befuddled sorceress Juno shows up to cause trouble.",76
796,Geek Unique,1999–OA,News,NA,NA,Add a Plot,NA
797,Waza no Tabibito,2011,"Animation,Short,Adventure",32,NA,"The story centers around Tekuni Depagaa, a girl who embarks on a journey to train and become a fighting master known as a ""wazabito.""",NA
798,Midnight the Era,,"Short,Sci-Fi",NA,NA,"In peacetime. Kaiju served as a deterrent. But they were replaced by nuclear weapons, which are less costly and safer than Kaiju. All kaiju states have introduced nuclear weapons and at the...                See full summary »",NA
799,Pothound,2011,"Short,Drama",11,7.6,The point-of-view of a street dog in relation to the world around her. She runs into adversity and forms alliances.,29
800,Paradise Heights,1994OAVideoOAGame,"Adventure,Romance",NA,NA,"Keigo Nakadai is at a crossroads in his life. He's 25 years old, kicked out of his job as a computer programmer, forced to work as a handyman. Then he gets an offer he can't refuse. His ...                See full summary »",NA
801,Black Belt Challenge,2002OAVideoOAGame,"Action,Adventure,Fantasy",NA,NA,"Black Belt Challenge is a 2D fighting game for the Game Boy Advance. There are 11 different characters available and each has its own level. The game features game modes like Arcade, Challenge, Survival, Training and a VS mode.",NA
802,Spirit of Wonder: Chaina-san no wakusei,2001OAVideo,"Animation,Short,Sci-Fi",17,NA,Add a Plot,NA
803,LOVE LIVE HINA: Hinata Girls ga Osaka na,2000OAVideo,Music,65,NA,"On August 6th 2000, the first live concert by the Hinata Girls (the girls from the TV anime series ''Love Hina'' who live in the Hinata-sou) was given in Osaka. This DVD contains the entire...                See full summary »",NA
804,Sekai Meisaku Gekijou Kanketsu Ban: Peter Pan no Bouken Part 1,2001OATVOAMovie,Animation,45,NA,Add a Plot,NA
805,From Then to Now: Behind the Scenes,2003OAVideo,"Documentary,Short",21,NA,"Short documentary of the making of the English dub of the anime Now and Then, Here and There.",NA
806,Elemental Gearbolt,1997OAVideoOAGame,"Action,Fantasy,Mystery",NA,7.1,"In a fantastic world divided by class and race, technology from a mysterious source has imbued a young prince with the key to unimaginable power. By means of a Neural Network Computer ...                See full summary »",22
807,Power Stone,1999OAVideoOAGame,Action,NA,7.9,"Set in the 19th century, strong believers of legends, myths and superstition search for fame, fortune and glory. One legend above all is sought after by many, a treasure which can make any ...                See full summary »",70
808,Nodojiman the World,2018OATVOAMovie,Music,NA,NA,"Fall edition of Japanese music television program Nodojiman The World - Song for Japan, won by Ana María Villa (Colombia, 1st place) and Nora Hime (Italy, 2nd place)",NA
809,Violet Battlefield,2013–OA,"Animation,Action,Crime",NA,NA,"A teenage boy Makoto Ishiguro, who is a half human hybrid and lost his mother along with his older brother Hosoki Ishiguro. When they arrived in Osaka, they joined AI Foundation when they had to fight in between their schools.",NA
810,"Akai Shouzou: Char, Soshite Frontal e",2010,Sci-Fi,98,NA,"A recap of Gundam, Gundam Z, Gundam ZZ, and Char's Counterattack as experienced by Char Aznable, as well as a precursor to Gundam Unicorn.",NA
811,Sekai Meisaku Gekijou Kanketsu Ban: Daisougen no Chiisana Tenshi Bush Baby Part 1,2001OATVOASpecial,Animation,45,NA,Add a Plot,NA
812,A Demon's Destiny: The Lone Warrior,2009–OA,Sci-Fi,NA,4.2,"The show revolves around Kennedy, a half-demon set out to save the world from the coming Demon Invasion. Will he and his two human companions be able to stop the end of the world? Only time will tell.",10
813,Bright Memory,2019OAVideoOAGame,"Action,Sci-Fi",NA,6.2,"Bright Memory is a lightning-fast fusion of the FPS and action genres, created by one-man development studio FYQD using Unreal Engine. Combine a wide variety of skills and abilities to unleash dazzling combo attacks.",60
814,Silent Möbius gaiden: Bakumatsu Anbu shimatsu ki,1993OAVideo,"Action,History",58,5.2,Add a Plot,10
815,Ys III: Wanderers from Ys,1989OAVideoOAGame,"Action,Adventure,Fantasy",NA,7.0,"3 years have passed since the event of Ys II, Adol and Dogi are on a journey to the town Redmont, they are attacked by a beast who gets killed. Adol helps the townspeople out who are ...                See full summary »",17
816,Cotton Fantasy: Superlative Night Dreams,2021OAVideoOAGame,"Action,Adventure,Fantasy",NA,NA,"Something sinister is in the making, the Willows are vanishing from Fairyland and the Fairy Queen asks Silk to seek the witch Nata de Cotton for help, Cotton is willing to help out her old friend and embark on another adventure together.",NA
817,Tsukikage no Tokio,2015,"Short,Sci-Fi",7,6.1,Add a Plot,8
818,Linking Love,2017,"Comedy,Music,Romance",116,6.4,"High School student Miyui Mashio is really struggling. She can't fulfill her dream of becoming an idol and her parents are always fighting. Suddenly, she finds a genie in a bottle and ...                See full summary »",23
819,Weeb Watch-a-Thon,2019OAVideo,Talk-Show,NA,NA,"Binge-watch your favorite series from anime, cartoons, movies and more in a raw and honest way to experience geekdom. Taking reactions to a new level Weeb Watch-a-Thon focuses more on the ...                See full summary »",NA
820,Meshimase Lodoss-to Senki Sorette Oishii no?,2014,"Animation,Comedy",NA,NA,Add a Plot,NA
821,The Lo0n,2011,"Short,Action,Drama",5,NA,"The government says radiation has infested everything. The food we eat, the water we drink, the air we breathe. They've issued masks for everyone to wear when outside and anti-radiation ...                See full summary »",NA
822,Lectures by Satoshi Kon,2007OAVideo,"Documentary,Short",42,NA,"The director of 'Perfect Blue', Satoshi Kon, is giving a masterclass to students to analyze the different meanings of his first feature film.",NA
823,Sekai Meisaku Gekijou Kanketsu Ban: Konnichiwa Anne Part 1,2011OATVOASpecial,Animation,45,NA,Add a Plot,NA
824,Gegege no Kitarou: Obake Nighter,1997,Short,30,NA,Add a Plot,NA
825,Puppet Princess: Outtakes,2001OAVideo,"Animation,Short,Comedy",NA,NA,Outtakes from the English dub of 'Puppet Princess'.,NA
826,Pokemon Center Okinawa Opening Commemorative Video,2022OAVideo,"Short,Animation",2,NA,Commemorative video for the opening of Pokemon Center Okinawa about travelling Growlithe.,NA
827,Kendo Rage,1993OAVideoOAGame,"Action,Adventure,Comedy",NA,7.0,"Kendo Rage is an action-adventure 2D side-scroller, where you get to play as Jo, A girl who's really interested in Kendo (Japanese fencing) and is about to embark on the world's strangest summer vacation.",8
828,Sekai Meisaku Gekijou Kanketsu Ban: Romeo no Aoi Sora Part 2,2001OATVOASpecial,Animation,45,NA,Add a Plot,NA
829,Supa Miruku Chan,1998,"Animation,Comedy,Sci-Fi",8,7.1,Milk-chan and her friends are hired to solve a variety of problems.,24
830,Kaubôi bibappu,1998OAVideoOAGame,"Action,Adventure,Sci-Fi",NA,8.2,Add a Plot,32
831,Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www,2014,"Animation,Short,Comedy",14,NA,Add a Plot,NA
832,Dragon Ball: Advanced Adventure,2004OAVideoOAGame,"Action,Adventure,Fantasy",NA,7.7,"Dragon Ball Advanced Adventure relives the childhood of the series' main character, Goku, as he travels in search of the seven dragon balls.",20
833,Sylvanian Families Mini Gekijou: Omoigakenai Okyakusama,2005OAVideo,"Animation,Short",5,NA,Add a Plot,NA
834,Lost in Fansubs,2009OAVideo,Documentary,60,NA,Documenting the growing trend in American Cosplay (Costume Play).,NA
835,FanLove,2016,Comedy,97,NA,"Hikari has just arrived to Buenos Aires and wants to know its FanDom. Juan has been all his life into it. This two different kids fell in love with each other quickly, as quickly as wassapp...                See full summary »",NA
836,Toonami: Advanced Robotics,2001OAMusicOAVideo,Music,3,4.6,"An anime music video from Toonami for it's song, 'Ignition'.",22
837,Nocturnal Illusion,1995OAVideoOAGame,"Adventure,Mystery",NA,NA,"Welcome to the Hall of Illusion, a mysterious place filled with love, sadness and loneliness. The women trapped here long for the warmth of a human hand, the soft touch of a caring friend. ...                See full summary »",NA
838,Ghost 1.0,2016OAVideoOAGame,"Action,Adventure,Comedy",NA,NA,"A mysterious agent, capable of becoming a digital ghost, sneaks aboard the Nakamura Space Station, The station is well-protected with its heavy defenses, and weapons, and mysterious artifacts, It will all have to be destroyed.",NA
839,Sekai Meisaku Gekijou Kanketsu Ban: Peter Pan no Bouken Part 2,2001OATVOASpecial,Animation,45,NA,Add a Plot,NA
840,Mega Man Battle Network 5: Double Team DS,2005OAVideoOAGame,"Action,Adventure,Fantasy",NA,NA,"In this slightly enhanced port of both versions of Mega Man Battle Network 5 for the DS. A mysterious Navi force has taken control of the Internet, Now it's up to Lan and his friends to infiltrate and destroy the Dark Chip system.",NA
841,Otakus,2007,"Short,Action,Comedy",8,8.3,Two fans about Japan animation fight against each other to demonstrate who knows best about it.,126
842,Elite Jack!!,2014–2015,"Animation,Comedy,Romance",13,NA,"The story is set at the elite Omega High School, where test results decide everything. The high-scorers in the student council, in particular the student council president, have a lot of ...                See full summary »",NA
843,Another Century's Episode,2005OAVideoOAGame,Action,NA,NA,"In the future, interstellar political strife has led to the formation of a global governing body called the United Community of Earth, or UCE. Recently, global energy shortages have led to ...                See full summary »",NA
844,Designing Your Future,2006–OA,"Family,News,Talk-Show",30,8.2,"""Designing Your Future"" is an half-hour television program highlighting the art and design industry from an insider's viewpoint. Featuring discussions with successful artists and designers,...                See full summary »",10
845,Sûpâ Riaru Mâjan PV,1994OAVideoOAGame,Comedy,NA,NA,"Super Real Mahjong PV is the fifth installment in the strip mahjong series. There is no background story in the game; the player is merely introduced to three high school girls - Mizuki, ...                See full summary »",NA
846,E.X. Troopers,2012OAVideoOAGame,"Action,Adventure,Sci-Fi",NA,6.8,"An offshoot of the Lost Planet franchise, EX Troopers is an action game focused as much on character dynamics in a pilot school as it is on alien-blasting action.",6
847,M.U.S.H.A.: Metallic Uniframe Super Hybrid Armor,1990OAVideoOAGame,"Action,Adventure,Sci-Fi",NA,8.2,Musha Aleste: Fullmetal Fighter Ellinor is a vertically scrolling shooter where you take the role of a flying mecha pilot who must destroy a large super intelligent computer threatening planet Earth.,23
848,Gal*Gun: Double Peace,2015OAVideoOAGame,"Action,Adventure,Comedy",NA,5.7,"A rail shooter, with a difference, replacing bullets with pheromone shots, and enemies with giddy love-obsessed school girls.",22
849,Echogeddon,2016–OA,"Action,Comedy,Drama",NA,NA,A little girl called Zoe ends up trapped in a mech suit and is forced to fight monsters.,NA
850,Super Real Mahjong PIV,1993OAVideoOAGame,Comedy,NA,NA,"Originating in the arcades, this installment of the Super Real Mahjong series puts the player in the role of a mahjong club member who competes against three female opponents. Rounds won by...                See full summary »",NA
851,Pop Filter Podcast,2019OAVideo,Talk-Show,NA,NA,Pop Filter covers all things geeky in a podcast styled format hosted by Erik Scott Kimerer and Katya Stec.,NA
852,Con Trek,2009–OA,"Documentary,Sci-Fi",17,NA,Explores the world of fandom conventions. Brittney and Alan are your eyes and ears into this fascinating world.,NA
853,The Witch's House MV,2018OAVideoOAGame,"Adventure,Horror,Thriller",NA,7.8,"A young girl, Viola, is drawn inexorably to a mysterious manor that seems to change behind her back. It is a place of pain, turmoil and death. Untangle riddles that bar your perilous path. And flee the hellish halls of The Witch's House.",16
854,Yûsha tokkyû Might Gaine,1993–OA,NA,NA,7.5,"Mighto Senpuuji who is very rich, is a teen who gets involved in his father's company and Might Gaine of giant robots. He takes on the crime lords that infest Nouvelle Tokyo City.",16
855,Zettai Karen Children: Gentei kaikin!! OVA chou sakidori special!!,2010OAVideo,"Short,Action",16,NA,Summary of the Zettai Karen Children series bundled with the limited edition 21st tankobon volume of the manga.,NA
856,The Maid's Story,1997OAVideoOAGame,Adventure,NA,NA,"Train 3 Girls to be the Best Maid. Cleaning, washing, shopping... a whole lot of training and hard work is ahead. But not only is that all the fun...see what kind of fun can happen at night...                See full summary »",NA
857,Word!,2020–OA,Talk-Show,NA,NA,Add a Plot,NA
858,From Ingestion to Excretion,2012,Short,2,NA,Add a Plot,NA
859,Fighter's High Gaiden: Adam Kane,2010OAVideo,"Short,Action,Comedy",9,NA,"The 1st in a series of side stories for Fighter's High! Set 3 months before Adam is transferred to J.D. Oliver Academy (AKA - 'Fighter's High'). Adam runs into some trouble with Leo Rogan, ...                See full summary »",NA
860,Infinite Adventures,2018OAVideoOAGame,NA,NA,NA,"Infinite Adventures is a dungeon crawling RPG inspired by classic dungeon RPGs; with fresh new mechanics for exploration, combat, and progression. You are the Traveler, a hero with a ...                See full summary »",NA
861,Dragon Force,1996OAVideoOAGame,NA,NA,8.4,Add a Plot,28
862,Divi-Dead,1998OAVideoOAGame,"Adventure,Horror,Mystery",NA,NA,"Trust No-one...But Yourself? My name is Ranmaru Hibikiya. Today is my first day at Asao Private School? My uncle is the dean of this school. About a month ago, he paid me a visit and ...                See full summary »",NA
863,Madoromi no Vevara,2019OAVideo,"Animation,Short",10,NA,Sana suddenly awakes and is transported to a dream world by someone or something? What she experiences will change her life in the real world forever,NA
864,Kono Mangga ga Sugoi!,2018,NA,NA,NA,During the course of twelve episodes actress Yu Aoi acts as the hostess who discusses and interviews guests on the subject of their favourite manga. The program also feature material based ...                See full summary »,NA
865,Panorama Cotton,1994OAVideoOAGame,"Action,Adventure,Fantasy",NA,NA,"Panorama Cotton is an addictive, pseudo-3D rail shooter, where you get to follow Cotton and Silk as they go on a journey to find the evil willow burner and bring an end to her madness.",NA
866,Acc3so,2012–2014,Game-Show,30,NA,Add a Plot,NA
867,Crimson Tears,2004OAVideoOAGame,"Action,Drama,Mystery",NA,7.4,The year is 2049. Tokyo suddenly became a world of labyrinth. The super weapons manufacturer A.R.M.A. has gone out of control when the accident caused the distortions in the planet's ...                See full summary »,19
868,ROH: Contention,2009OAVideo,"Action,Sport",NA,NA,"ROH World Heavyweight Champion Jerry Lynn faces Tyler Black in non-title action, Nigel McGuinness returns to ROH and is confronted by Number One Contender Austin Aries, and more.",NA
